Address,City,State,Zip,All Services,Zinc Treatment,Roof Type/ Material,Home Square Footage,Home Value,Average Home Value in Zip code,Number of Stories,,Roof Details >> Roof: >> Type,Roof Details >> Roof: >> Steepness,Jobsite Ladders >> Roof >> Number of Ladder Movements,Jobsite Ladders >> Roof >> ladder Size,Jobsite Ladders >> Gutter >> Number of Ladder Movements,Jobsite Ladders >> Gutter >> ladder Size,Jobsite Ladders >> Window >> Number of Ladder Movements,Jobsite Ladders >> Window >> ladder Size,,,
8217 California Avenue Southwest,Seattle,Washington,98136,"Preventative Roof Treatment - Chemical Spray (1, $175), Preventative Roof Treatment - Zinc Powder (1, $160), Gutter Clearing (1, $285), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), 60-Day Workmanship Guarantee (1, $0), Exterior Gutter Washing (1, $210), Gutter Guard Installation (1, $1450), Interior Window Cleaning (1, $180), Exterior Window Cleaning (1, $295), Screen Cleaning (1, $50), Track Cleaning (1, $153), Window Frame Cleaning  (1, $118), Window Cleaning Discount (1, $-75)",160,Composite - Architectural,1550,946200,963714,N/A,,Composite - Architectural,8 / 12,1 - 3,32ft,4 - 8,32ft,9 - 20,28ft,,,
8221 42nd Avenue Northeast,Seattle,Washington,98115,"Moss Removal (1, $290), Preventative Roof Treatment - Chemical Spray (1, $140), Preventative Roof Treatment - Zinc Powder (1, $110), Gutter Clearing (1, $240), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Booking Discount (1, $-50), 60-Day Workmanship Guarantee (1, $0), Exterior Gutter Washing (1, $190), Gutter Guard Installation (1, $1025), House Wash (1, $825), Interior Window Cleaning (1, $165), Exterior Window Cleaning (1, $230), Screen Cleaning (1, $40), Track Cleaning (1, $140), Window Frame Cleaning  (1, $92), Window Cleaning Discount (1, $-50), Pressure Washing - Driveway (1, $390), Pressure Washing - Patio (1, $335)",110,Composite - Architectural,1270,964900,1065125,N/A,,Composite - Architectural,7 / 12,1 - 3,20ft,1 - 3,20ft,4 - 8,20ft,,,
8221 42nd Avenue Northeast,Seattle,Washington,98115,"Gutter Clearing (1, $275), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Exterior Window Cleaning (1, $250), Screen Cleaning Disclaimer (1, $0), Booking Discount (1, $-30), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $160), Preventative Roof Treatment - Zinc Powder (1, $145), Exterior Gutter Washing (1, $195), Gutter Guard Installation (1, $1310), Interior Window Cleaning (1, $195), Screen Cleaning (1, $40), Track Cleaning (1, $165), Window Frame Cleaning  (1, $100), Window Cleaning Discount (1, $-70)",145,Composite - Architectural,1270,964900,1065125,N/A,,Composite - Architectural,7 / 12,1 - 3,20ft,1 - 3,20ft,4 - 8,20ft,,,
8222 38th Avenue Northeast,Seattle,Washington,98115,"Gutter Clearing (1, $265), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $175), Preventative Roof Treatment - Zinc Powder (1, $160), Exterior Gutter Washing (1, $210), Gutter Guard Installation (1, $1240), Interior Window Cleaning (1, $210), Exterior Window Cleaning (1, $270), Screen Cleaning (1, $40), Track Cleaning (1, $178), Window Frame Cleaning  (1, $108), Window Cleaning Discount (1, $-70)",160,Composite - Architectural,1990,1197500,1021525,N/A,,Composite - Architectural,12 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,20ft,,,
8222 38th Avenue Northeast,Seattle,Washington,98115,"Gutter Clearing (1, $265), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), 60-Day Workmanship Guarantee (1, $0), Valpak Discount (1, $-50), Preventative Roof Treatment - Chemical Spray (1, $175), Preventative Roof Treatment - Zinc Powder (1, $160), Exterior Gutter Washing (1, $210), Gutter Guard Installation (1, $1240), Interior Window Cleaning (1, $210), Exterior Window Cleaning (1, $270), Screen Cleaning (1, $40), Track Cleaning (1, $178), Window Frame Cleaning  (1, $108), Window Cleaning Discount (1, $-70)",160,Composite - Architectural,1990,1197500,1021525,N/A,,Composite - Architectural,12 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,20ft,,,
8223 Northeast 125th Court,Kirkland,Washington,98034,"Roof Wash (1, $1185), Roof Treatment (1, $237), Preventative Roof Treatment - Zinc Powder (1, $170), Gutter Clearing (1, $330), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Skylight Cleaning (1, $40), Pressure Washing - Front Entrance Walkway (1, $225), Interior Window Cleaning (1, $210), Exterior Window Cleaning (1, $285), Screen Cleaning (1, $40), Screen Cleaning Disclaimer (1, $0), Window Cleaning Discount (1, $-60), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $190), Exterior Gutter Washing (1, $240), Gutter Guard Installation (1, $1650), House Wash (1, $1310), Track Cleaning (1, $178), Window Frame Cleaning  (1, $114), Pressure Washing - Driveway (1, $410)",170,Composite - Architectural,2026,1154600,1277325,N/A,,Composite - Architectural,8 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft,,,
8224 North Olympia Street,Portland,Oregon,97203,"Gutter Clearing (1, $335), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $210), Preventative Roof Treatment - Zinc Powder (1, $185), Exterior Gutter Washing (1, $250), Gutter Guard Installation (1, $1685), Interior Window Cleaning (1, $210), Exterior Window Cleaning (1, $280), Screen Cleaning (1, $40), Track Cleaning (1, $178), Window Frame Cleaning  (1, $112)",185,Composite - Architectural,1800,587500,402863,N/A,,Composite - Architectural,8 / 12,1 - 3,32ft,1 - 3,32ft,9 - 20,32ft,,,
8224 North Olympia Street,Portland,Oregon,97203,"Gutter Clearing (1, $335), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Exterior Window Cleaning (1, $280), Screen Cleaning (1, $40), Screen Cleaning Disclaimer (1, $0), Booking Discount (1, $-30), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $210), Preventative Roof Treatment - Zinc Powder (1, $185), Exterior Gutter Washing (1, $250), Gutter Guard Installation (1, $1685), Track Cleaning (1, $178), Window Frame Cleaning  (1, $112)",185,Composite - Architectural,1800,587500,402863,N/A,,Composite - Architectural,8 / 12,1 - 3,32ft,1 - 3,32ft,9 - 20,32ft,,,
8226 224th Place Southwest,Edmonds,Washington,98026,"Gutter Clearing (1, $285), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $175), Preventative Roof Treatment - Zinc Powder (1, $165), Exterior Gutter Washing (1, $230), Gutter Guard Installation (1, $1425), Interior Window Cleaning (1, $175), Exterior Window Cleaning (1, $230), Screen Cleaning (1, $55), Track Cleaning (1, $148), Window Frame Cleaning  (1, $92), Window Cleaning Discount (1, $-65)",165,Composite - Architectural,1422,791100,966500,N/A,,Composite - Architectural,6 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft,,,
8230 Southwest 135th Avenue,Beaverton,Oregon,97008,"Exterior Window Cleaning (1, $250), Window Frame Cleaning  (1, $100), Screen Cleaning Disclaimer (1, $0), Screen Cleaning (1, $55), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $185), Preventative Roof Treatment - Zinc Powder (1, $135), Gutter Clearing (1, $275), Exterior Gutter Washing (1, $250), Track Cleaning (1, $191)",135,Composite - Architectural,3380,866200,669736,N/A,,Composite - Architectural,6 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft,,,
8231 4th Avenue Northeast,Seattle,Washington,98115,"Gutter Clearing (1, $250), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Interior Window Cleaning (1, $195), Exterior Window Cleaning (1, $255), Screen Cleaning (1, $40), Screen Cleaning Disclaimer (1, $0), Window Cleaning Discount (1, $-60), Booking Discount (1, $-35), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $155), Preventative Roof Treatment - Zinc Powder (1, $135), Exterior Gutter Washing (1, $195), Gutter Guard Installation (1, $1105), Track Cleaning (1, $165), Window Frame Cleaning  (1, $102)",135,Composite - Architectural,1720,1071000,1340538,N/A,,Composite - Architectural,8 / 12,1 - 3,28ft,1 - 3,28ft,4 - 8,20ft,,,
8233 16th Avenue Northeast,Seattle,Washington,98115,"Inclusions (1, $0), Moss Removal (1, $585), Preventative Roof Treatment - Chemical Spray (1, $200), Gutter Clearing (1, $300), Minor Gutter Repairs (1, $0), Exterior Gutter Washing (1, $250), Pressure Washing - Patio (1, $750), Interior Window Cleaning (1, $195), Exterior Window Cleaning (1, $270), Screen Cleaning (1, $45), Screen Cleaning Disclaimer (1, $0), Window Cleaning Discount (1, $-60), Booking Discount (1, $-160), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Zinc Powder (1, $175), Track Cleaning (1, $165), Window Frame Cleaning  (1, $108)",175,Composite - 3 Tab,1860,999500,999625,1,,Composite - 3 Tab,12 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft,,,
8233 16th Avenue Northeast,Seattle,Washington,98115,"Inclusions (1, $0), Moss Removal (1, $585), Preventative Roof Treatment - Chemical Spray (1, $200), Preventative Roof Treatment - Zinc Powder (1, $175), Gutter Clearing (1, $300), Minor Gutter Repairs (1, $0), Pressure Washing - Patio (1, $750), Interior Window Cleaning (1, $195), Exterior Window Cleaning (1, $270), Screen Cleaning (1, $45), Screen Cleaning Disclaimer (1, $0), Window Cleaning Discount (1, $-60), Booking Discount (1, $-160), 60-Day Workmanship Guarantee (1, $0), Exterior Gutter Washing (1, $250), Track Cleaning (1, $165), Window Frame Cleaning  (1, $108)",175,Composite - 3 Tab,1860,999500,999625,1,,Composite - 3 Tab,12 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft,,,
8237 4th Avenue Northeast,Seattle,Washington,98115,"Gutter Clearing (1, $280), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $170), Preventative Roof Treatment - Zinc Powder (1, $160), Exterior Gutter Washing (1, $220), Gutter Guard Installation (1, $1400), House Wash (1, $1400), Interior Window Cleaning (1, $215), Exterior Window Cleaning (1, $275), Screen Cleaning (1, $50), Track Cleaning (1, $182), Window Frame Cleaning  (1, $110)",160,Composite - Architectural,2600,1433400,1253125,N/A,,Composite - Architectural,8 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft,,,
8240 Southeast 59th Street,Mercer Island,Washington,98040,"Gutter Clearing (1, $545), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Skylight Cleaning (1, $120), Interior Window Cleaning (1, $520), Exterior Window Cleaning (1, $780), Screen Cleaning Disclaimer (1, $0), Screen Cleaning (1, $120), Track Cleaning (1, $442), Window Frame Cleaning  (1, $312), Window Cleaning Discount (1, $-140), Booking Discount (1, $-170), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $265), Preventative Roof Treatment - Zinc Powder (1, $240), Exterior Gutter Washing (1, $395), Gutter Guard Installation (1, $2340)",240,Composite - Architectural,6460,4755000,2798350,2,,Composite - Architectural,10 / 12,1 - 3,32ft,1 - 3,32ft,9 - 20,32ft,,,
8241 North Bliss Street,Portland,Oregon,97203,"Gutter Clearing (1, $285), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $170), Preventative Roof Treatment - Zinc Powder (1, $145), Exterior Gutter Washing (1, $210), Gutter Guard Installation (1, $1350), Interior Window Cleaning (1, $205), Exterior Window Cleaning (1, $265), Screen Cleaning (1, $40), Track Cleaning (1, $174), Window Frame Cleaning  (1, $106), Window Cleaning Discount (1, $-70)",145,Composite - Architectural,1464,425000,422357,2,,Composite - Architectural,8 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft,,,
8243 Ashworth Avenue North,Seattle,Washington,98103,"Gutter Clearing (1, $260), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $170), Preventative Roof Treatment - Zinc Powder (1, $155), Exterior Gutter Washing (1, $210), Interior Window Cleaning (1, $175), Exterior Window Cleaning (1, $225), Screen Cleaning (1, $50), Track Cleaning (1, $148), Window Frame Cleaning  (1, $90), Pressure Washing - Driveway (1, $415)",155,Composite - Architectural,3420,2288100,3070650,N/A,,Composite - Architectural,10 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft,,,
825 8th Avenue South,Kirkland,Washington,98033,"Gutter Clearing (1, $265), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $160), Preventative Roof Treatment - Zinc Powder (1, $145), Exterior Gutter Washing (1, $205), Gutter Guard Installation (1, $1310), Interior Window Cleaning (1, $210), Exterior Window Cleaning (1, $275), Screen Cleaning (1, $50), Track Cleaning (1, $178), Window Frame Cleaning  (1, $110), Window Cleaning Discount (1, $-85)",145,Composite - Architectural,1580,1507200,1847700,N/A,,Composite - Architectural,8 / 12,1 - 3,28ft,4 - 8,20ft,9 - 20,28ft,,,
8251 41st Avenue Northeast,Seattle,Washington,98115,"Gutter Clearing (1, $250), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Exterior Window Cleaning (1, $215), Screen Cleaning Disclaimer (1, $0), Booking Discount (1, $-30), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $145), Preventative Roof Treatment - Zinc Powder (1, $140), Exterior Gutter Washing (1, $195), Gutter Guard Installation (1, $1250), Track Cleaning (1, $153), Window Frame Cleaning  (1, $86)",140,Composite - Architectural,1618,1220000,1081888,1,,Composite - Architectural,5 / 12,1 - 3,20ft,1 - 3,20ft,4 - 8,20ft,,,
8251 43rd Avenue Northeast,Seattle,Washington,98115,"Moss Removal (1, $565), Preventative Roof Treatment - Chemical Spray (1, $135), Preventative Roof Treatment - Zinc Powder (1, $110), Gutter Clearing (1, $225), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Booking Discount (1, $-80), 60-Day Workmanship Guarantee (1, $0), Exterior Gutter Washing (1, $180), Gutter Guard Installation (1, $860), House Wash (1, $725), Interior Window Cleaning (1, $140), Exterior Window Cleaning (1, $200), Screen Cleaning (1, $40), Track Cleaning (1, $119), Window Frame Cleaning  (1, $80), Window Cleaning Discount (1, $-25)",110,Composite - Architectural,1090,895800,1190075,N/A,,Composite - Architectural,8 / 12,1 - 3,20ft,1 - 3,20ft,4 - 8,20ft,,,
8251 Northrop Place Southwest,Seattle,Washington,98136,"Moss Removal (1, $820), Gutter Clearing (1, $270), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Pressure Washing - Driveway  (1, $320), Exterior Window Cleaning (1, $240), Screen Cleaning (1, $35), Screen Cleaning Disclaimer (1, $0), Booking Discount (1, $-100), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $160), Preventative Roof Treatment - Zinc Powder (1, $145), Exterior Gutter Washing (1, $210), Gutter Guard Installation (1, $1280), Interior Window Cleaning (1, $175), Track Cleaning (1, $148), Window Frame Cleaning  (1, $96), Window Cleaning Discount (1, $-45)",145,Composite - Architectural,1510,1157100,1221350,N/A,,Composite - Architectural,6 / 12,1 - 3,20ft,1 - 3,20ft,9 - 20,20ft,,,
8259 Northwest Cresap Lane,Portland,Oregon,97229,"Gutter Clearing (1, $410), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $235), Preventative Roof Treatment - Zinc Powder (1, $205), Exterior Gutter Washing (1, $320), Gutter Guard Installation (1, $2085), House Wash (1, $1685), Interior Window Cleaning (1, $310), Exterior Window Cleaning (1, $370), Screen Cleaning (1, $80), Track Cleaning (1, $263), Window Frame Cleaning  (1, $148), Window Cleaning Discount (1, $-75), Skylight Cleaning (1, $60), Pressure Washing - Driveway (1, $440)",205,Composite - Architectural,4562,1517400,1060571,3,,Composite - Architectural,8 / 12,1 - 3,32ft,4 - 8,32ft,9 - 20,32ft,,,
827 3rd Place Northeast,Issaquah,Washington,98029,"Gutter Clearing (1, $375), Minor Gutter Repairs (1, $0), 40' Ladder Required (1, $0), Rooftop Sweep (1, $0), Valpak discount Gutter clearing  (1, $-50), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $210), Preventative Roof Treatment - Zinc Powder (1, $195), Exterior Gutter Washing (1, $305), Gutter Guard Installation (1, $1875), Interior Window Cleaning (1, $225), Exterior Window Cleaning (1, $350), Screen Cleaning (1, $55), Track Cleaning (1, $191), Window Frame Cleaning  (1, $140), Window Cleaning Discount (1, $-70)",195,Composite - Architectural,2820,1837300,1441413,N/A,,Composite - Architectural,6 / 12,1 - 3,40ft,4 - 8,40ft,9 - 20,40ft,,,
827 Northwest 106th Street,Seattle,Washington,98177,"Gutter Clearing (1, $310), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $170), Preventative Roof Treatment - Zinc Powder (1, $150), Exterior Gutter Washing (1, $220), Gutter Guard Installation (1, $1340), House Wash (1, $1310), Interior Window Cleaning (1, $205), Exterior Window Cleaning (1, $270), Screen Cleaning (1, $45), Track Cleaning (1, $174), Window Frame Cleaning  (1, $108), Window Cleaning Discount (1, $-80), Skylight Cleaning (1, $40), Solar Panel Cleaning (1, $265)",150,Composite - Architectural,230,853400,1070600,N/A,,Composite - Architectural,6 / 12,1 - 3,28ft,1 - 3,28ft,9 - 20,28ft,,,
828 16th Avenue,Seattle,Washington,98122,"Skylight Cleaning (1, $95), Exterior Window Cleaning (1, $440), Screen Cleaning Disclaimer (1, $0), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $200), Preventative Roof Treatment - Zinc Powder (1, $175), Gutter Clearing (1, $335), House Wash (1, $1425), Track Cleaning (1, $259), Window Frame Cleaning (1, $176)",175,Composite - Architectural,1840,1168200,1207271,N/A,,Composite - Architectural,12 / 12,4 - 8,32ft,4 - 8,32ft,9 - 20,32ft,,,
829 235th Avenue Northeast,Sammamish,Washington,98074,"Gutter Clearing (1, $285), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Gutter Repair (1, $275), Booking Discount (1, $-40), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $175), Preventative Roof Treatment - Zinc Powder (1, $150), Exterior Gutter Washing (1, $235), Gutter Guard Installation (1, $1425), House Wash (1, $1200), Interior Window Cleaning (1, $245), Exterior Window Cleaning (1, $350), Screen Cleaning (1, $60), Track Cleaning (1, $208), Window Frame Cleaning  (1, $140), Window Cleaning Discount (1, $-50)",150,Composite - Presidential,2570,1718700,1575375,N/A,,Composite - Presidential,9 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft,,,
829 235th Avenue Northeast,Sammamish,Washington,98074,"House Wash (1, $1200), Exterior Window Cleaning (1, $350), Screen Cleaning Disclaimer (1, $0), Booking Discount (1, $-200), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $175), Preventative Roof Treatment - Zinc Powder (1, $150), Gutter Clearing (1, $285), Exterior Gutter Washing (1, $235), Gutter Guard Installation (1, $1425), Interior Window Cleaning (1, $245), Screen Cleaning (1, $60), Track Cleaning (1, $208), Window Frame Cleaning  (1, $140), Window Cleaning Discount (1, $-50)",150,Composite - Presidential,2570,1718700,1575375,N/A,,Composite - Presidential,9 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft,,,
830 156th Place Southwest,Lynnwood,Washington,98087,"Gutter Clearing (1, $355), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $190), Preventative Roof Treatment - Zinc Powder (1, $170), Exterior Gutter Washing (1, $240), Gutter Guard Installation (1, $1780), House Wash (1, $1680), Interior Window Cleaning (1, $240), Exterior Window Cleaning (1, $305), Screen Cleaning (1, $65), Track Cleaning (1, $204), Window Frame Cleaning  (1, $122), Window Cleaning Discount (1, $-90), Pressure Washing - Driveway (1, $380)",170,Composite - Architectural,3085,1250000,1214238,2,,Composite - Architectural,8 / 12,1 - 3,32ft,1 - 3,32ft,9 - 20,28ft,,,
830-836 Northeast 53rd Avenue,Portland,Oregon,97213,"Gutter Clearing (1, $215), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), FALL PROMO (1, $-50), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $165), Preventative Roof Treatment - Zinc Powder (1, $155), Exterior Gutter Washing (1, $170), Interior Window Cleaning (1, $145), Exterior Window Cleaning (1, $180), Track Cleaning (1, $123), Window Frame Cleaning  (1, $72)",155,Composite - Architectural,1617,871220,563300,N/A,,Composite - Architectural,5 / 12,1 - 3,20ft,1 - 3,20ft,9 - 20,20ft,,,
8303 Northeast 144th Street,Kirkland,Washington,98034,"Preventative Roof Treatment - Chemical Spray (1, $130), Preventative Roof Treatment - Zinc Powder (1, $155), Gutter Clearing (1, $225), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), Booking Discount (1, $48), Senior Discount (1, $-25), 60-Day Workmanship Guarantee (1, $0), Interior Window Cleaning (1, $135), Exterior Window Cleaning (1, $170), Screen Cleaning (1, $35), Screen Cleaning Disclaimer (1, $0), Exterior Gutter Washing (1, $160)",155,Composite - Architectural,1290,851400,907713,N/A,,Composite - Architectural,6 / 12,1 - 3,20ft,1 - 3,20ft,1 - 3,6ft,,,
8304 26th Avenue Northwest,Seattle,Washington,98117,"Moss Removal (1, $370), Preventative Roof Treatment - Chemical Spray (1, $195), Preventative Roof Treatment - Zinc Powder (1, $180), Gutter Clearing (1, $415), Minor Gutter Repairs (1, $0), 40' Ladder Required (1, $0), Rooftop Sweep (1, $0), Interior Window Cleaning (1, $250), Exterior Window Cleaning (1, $335), Screen Cleaning (1, $70), Screen Cleaning Disclaimer (1, $0), Window Cleaning Discount (1, $-65), Booking Discount (1, $-80), 60-Day Workmanship Guarantee (1, $0), Exterior Gutter Washing (1, $340), Track Cleaning (1, $212), Window Frame Cleaning  (1, $134)",180,Composite - Architectural,2590,1635900,1035113,N/A,,Composite - Architectural,6 / 12,1 - 3,40ft,1 - 3,40ft,9 - 20,32ft,,,
8304 26th Avenue Northwest,Seattle,Washington,98117,"Preventative Roof Treatment - Chemical Spray (1, $195), Preventative Roof Treatment - Zinc Powder (1, $180), Gutter Clearing (1, $415), Minor Gutter Repairs (1, $0), 40' Ladder Required (1, $0), Rooftop Sweep (1, $0), Interior Window Cleaning (1, $250), Exterior Window Cleaning (1, $335), Screen Cleaning (1, $70), Screen Cleaning Disclaimer (1, $0), 60-Day Workmanship Guarantee (1, $0)",180,Composite - Architectural,2590,1635900,1035113,N/A,,Composite - Architectural,6 / 12,1 - 3,40ft,1 - 3,40ft,9 - 20,32ft,,,
8306 39th Avenue Southwest,Seattle,Washington,98136,"Interior Window Cleaning (1, $175), Exterior Window Cleaning (1, $200), Screen Cleaning Disclaimer (1, $0), Screen Cleaning (1, $50), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $160), Preventative Roof Treatment - Zinc Powder (1, $150), Gutter Clearing (1, $255), Exterior Gutter Washing (1, $200), Gutter Guard Installation (1, $1275), Track Cleaning (1, $148), Window Frame Cleaning  (1, $80)",150,Composite - Architectural,2300,976500,930788,N/A,,Composite - Architectural,5 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft,,,
8307 Southeast 41st Street,Mercer Island,Washington,98040,"Gutter Reseal (1, $225), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $220), Preventative Roof Treatment - Zinc Powder (1, $180), Gutter Clearing (1, $410), Exterior Gutter Washing (1, $320), House Wash (1, $1640), Interior Window Cleaning (1, $520), Exterior Window Cleaning (1, $640), Screen Cleaning (1, $100), Track Cleaning (1, $442), Window Frame Cleaning  (1, $256), Window Cleaning Discount (1, $-80), Skylight Cleaning (1, $90)",180,Composite - Architectural,4130,2971100,2128638,N/A,,Composite - Architectural,8 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft,,,
8307 Wildwood Avenue Southwest,Tacoma,Washington,98498,"Exterior Window Cleaning (1, $245), Screen Cleaning (1, $30), Screen Cleaning Disclaimer (1, $0), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $150), Preventative Roof Treatment - Zinc Powder (1, $135), Gutter Clearing (1, $265), Exterior Gutter Washing (1, $205), Gutter Guard Installation (1, $1180), Track Cleaning (1, $153), Window Frame Cleaning  (1, $98)",135,Composite - Architectural,2262,291100,492413,N/A,,Composite - Architectural,6 / 12,1 - 3,20ft,1 - 3,20ft,9 - 20,20ft,,,
831 Northeast Webster Street,Portland,Oregon,97211,"Moss Removal (1, $480), Preventative Roof Treatment - Chemical Spray (1, $180), Preventative Roof Treatment - Zinc Powder (1, $150), Gutter Clearing (1, $275), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), 60-Day Workmanship Guarantee (1, $0), Exterior Gutter Washing (1, $210), Gutter Guard Installation (1, $1350), Interior Window Cleaning (1, $215), Exterior Window Cleaning (1, $280), Screen Cleaning (1, $50), Track Cleaning (1, $182), Window Frame Cleaning  (1, $112), Window Cleaning Discount (1, $-90)",150,Composite - Architectural,2810,545820,566225,N/A,,Composite - Architectural,10 / 12,1 - 3,28ft,4 - 8,28ft,9 - 20,28ft,,,
8312 38th Avenue South,Seattle,Washington,98118,"Gutter Clearing (1, $270), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), 60-Day Workmanship Guarantee (1, $0), Preventative Roof Treatment - Chemical Spray (1, $165), Preventative Roof Treatment - Zinc Powder (1, $150), Exterior Gutter Washing (1, $210), Gutter Guard Installation (1, $1310), House Wash (1, $940), Interior Window Cleaning (1, $195), Exterior Window Cleaning (1, $250), Screen Cleaning (1, $40), Track Cleaning (1, $165), Window Frame Cleaning  (1, $100), Window Cleaning Discount (1, $-100), Skylight Cleaning (1, $80)",150,Composite - Architectural,1650,769500,579144,N/A,,Composite - Architectural,5 / 12,1 - 3,20ft,1 - 3,20ft,4 - 8,6ft,,,
8313 Southeast Kelly Court,Clackamas,Oregon,97015,"Moss Removal (1, $320), Preventative Roof Treatment - Chemical Spray (1, $140), Preventative Roof Treatment - Zinc Powder (1, $130), Gutter Clearing (1, $250), Minor Gutter Repairs (1, $0), Rooftop Sweep (1, $0), 60-Day Workmanship Guarantee (1, $0), Booking Discount (1, $-60), Interior Window Cleaning (1, $130), Exterior Window Cleaning (1, $180), Screen Cleaning (1, $30), Track Cleaning (1, $110), Window Frame Cleaning  (1, $72), Window Cleaning Discount (1, $-50), Pressure Washing - Driveway & Front Walkway (1, $420)",130,Composite - Architectural,1344,482100,423775,N/A,,Composite - Architectural,7 / 12,1 - 3,20ft,1 - 3,20ft,4 - 8,6ft,,,
